draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
80,SL49,2024-06-30,21:00,07-08-26-29-41-49,160,26.667,7,49,42,2,4,2,4,6,1,1
81,SL49,2024-07-02,21:00,04-06-10-14-39-49,122,20.333,4,49,45,4,2,4,2,6,0,1
82,SL49,2024-07-04,21:00,07-14-18-31-34-40,144,24,7,40,33,4,2,3,3,6,0,1
83,SL49,2024-07-07,21:00,07-11-16-34-36-40,144,24,7,40,33,4,2,3,3,6,0,3
84,SL49,2024-07-09,21:00,02-05-18-22-34-46,127,21.167,2,46,44,5,1,4,2,6,0,1
85,SL49,2024-07-11,21:00,02-03-13-19-28-41,106,17.667,2,41,39,2,4,4,2,6,1,1
86,SL49,2024-07-14,21:00,05-07-27-43-46-49,177,29.5,5,49,44,1,5,2,4,6,0,0
87,SL49,2024-07-16,21:00,28-29-34-35-43-46,215,35.833,28,46,18,3,3,0,6,6,2,2
88,SL49,2024-07-18,21:00,24-31-33-37-41-49,215,35.833,24,49,25,1,5,1,5,6,0,0
89,SL49,2024-07-21,21:00,07-10-12-23-30-33,115,19.167,7,33,26,3,3,4,2,6,0,1
90,SL49,2024-07-23,21:00,08-19-21-39-43-48,178,29.667,8,48,40,2,4,3,3,6,0,0
91,SL49,2024-07-25,21:00,17-18-23-30-42-43,173,28.833,17,43,26,3,3,3,3,6,2,1
92,SL49,2024-07-28,21:00,13-21-32-34-46-47,193,32.167,13,47,34,3,3,2,4,6,1,0
93,SL49,2024-07-30,21:00,09-19-20-24-28-35,135,22.5,9,35,26,3,3,4,2,6,1,0
94,SL49,2024-08-01,21:00,02-12-17-27-31-41,130,21.667,2,41,39,2,4,3,3,6,0,0
95,SL49,2024-08-04,21:00,08-13-14-22-40-45,142,23.667,8,45,37,4,2,4,2,6,1,0
96,SL49,2024-08-06,21:00,03-24-27-28-41-49,172,28.667,3,49,46,2,4,2,4,6,1,0
97,SL49,2024-08-08,21:00,09-19-26-30-37-41,162,27,9,41,32,2,4,2,4,6,0,1
98,SL49,2024-08-11,21:00,04-22-25-30-42-43,166,27.667,4,43,39,4,2,3,3,6,1,1
99,SL49,2024-08-13,21:00,03-11-21-29-32-39,135,22.5,3,39,36,1,5,3,3,6,0,0
100,SL49,2024-08-15,21:00,04-05-27-29-39-43,147,24.5,4,43,39,1,5,2,4,6,1,2
101,SL49,2024-08-18,21:00,01-19-30-39-42-45,176,29.333,1,45,44,2,4,2,4,6,0,1
102,SL49,2024-08-20,21:00,04-06-15-17-18-41,101,16.833,4,41,37,3,3,5,1,6,1,0
103,SL49,2024-08-22,21:00,09-14-19-20-36-39,137,22.833,9,39,30,3,3,4,2,6,1,0
