draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
261,UL58,2025-09-14,21:00,02-05-17-18-45-57,144,24,2,57,55,2,4,4,2,6,1,1
262,UL58,2025-09-16,21:00,01-03-24-27-32-34,121,20.167,1,34,33,3,3,4,2,6,0,0
263,UL58,2025-09-19,21:00,09-10-19-22-31-47,138,23,9,47,38,2,4,4,2,6,1,0
264,UL58,2025-09-21,21:00,19-21-28-49-51-54,222,37,19,54,35,2,4,3,3,6,0,1
265,UL58,2025-09-23,21:00,17-33-40-47-49-55,241,40.167,17,55,38,1,5,1,5,6,0,1
266,UL58,2025-09-26,21:00,01-02-11-27-33-48,122,20.333,1,48,47,2,4,4,2,6,1,1
267,UL58,2025-09-28,21:00,14-17-25-33-36-50,175,29.167,14,50,36,3,3,3,3,6,0,1
268,UL58,2025-09-30,21:00,28-29-32-39-41-46,215,35.833,28,46,18,3,3,2,4,6,1,0
269,UL58,2025-10-03,21:00,15-18-41-50-51-58,233,38.833,15,58,43,3,3,2,4,6,1,1
270,UL58,2025-10-05,21:00,02-12-16-45-46-50,171,28.5,2,50,48,5,1,3,3,6,1,1
271,UL58,2025-10-07,21:00,13-17-23-35-43-58,189,31.5,13,58,45,1,5,3,3,6,0,0
272,UL58,2025-10-10,21:00,01-03-12-14-19-49,98,16.333,1,49,48,2,4,5,1,6,0,0
273,UL58,2025-10-12,21:00,04-11-16-30-32-41,134,22.333,4,41,37,4,2,3,3,6,0,0
274,UL58,2025-10-14,21:00,22-31-34-44-48-51,230,38.333,22,51,29,4,2,1,5,6,0,0
275,UL58,2025-10-17,21:00,02-05-30-32-52-54,175,29.167,2,54,52,5,1,2,4,6,0,0
276,UL58,2025-10-19,21:00,09-10-15-16-17-25,92,15.333,9,25,16,2,4,6,0,6,3,0
277,UL58,2025-10-21,21:00,04-15-17-29-32-34,131,21.833,4,34,30,3,3,4,2,6,0,2
278,UL58,2025-10-24,21:00,06-15-23-35-39-49,167,27.833,6,49,43,1,5,3,3,6,0,1
279,UL58,2025-10-26,21:00,08-10-40-43-46-49,196,32.667,8,49,41,4,2,2,4,6,0,1
280,UL58,2025-10-28,21:00,05-16-23-37-51-57,189,31.5,5,57,52,1,5,3,3,6,0,0
281,UL58,2025-10-31,21:00,07-12-17-20-31-39,126,21,7,39,32,2,4,4,2,6,0,0
282,UL58,2025-11-02,21:00,19-28-30-47-50-51,225,37.5,19,51,32,3,3,2,4,6,1,0
283,UL58,2025-11-04,21:00,02-04-12-37-38-44,137,22.833,2,44,42,5,1,3,3,6,1,0
284,UL58,2025-11-07,21:00,18-22-29-44-46-50,209,34.833,18,50,32,5,1,3,3,6,0,1
285,UL58,2025-11-09,21:00,07-19-22-25-28-57,158,26.333,7,57,50,2,4,5,1,6,0,1
286,UL58,2025-11-11,21:00,08-18-19-40-46-53,184,30.667,8,53,45,4,2,3,3,6,1,1
287,UL58,2025-11-14,21:00,01-06-08-14-39-48,116,19.333,1,48,47,4,2,4,2,6,0,1
288,UL58,2025-11-16,21:00,10-12-13-14-29-37,115,19.167,10,37,27,3,3,5,1,6,2,1
289,UL58,2025-11-18,21:00,05-18-30-37-44-49,183,30.5,5,49,44,3,3,2,4,6,0,1
290,UL58,2025-11-21,21:00,22-26-34-41-49-52,224,37.333,22,52,30,4,2,2,4,6,0,1
291,UL58,2025-11-23,21:00,14-20-26-28-39-46,173,28.833,14,46,32,5,1,4,2,6,0,1
292,UL58,2025-11-25,21:00,06-19-31-36-40-42,174,29,6,42,36,4,2,2,4,6,0,0
293,UL58,2025-11-28,21:00,16-32-33-38-41-48,208,34.667,16,48,32,4,2,1,5,6,1,0
294,UL58,2025-11-30,21:00,03-08-20-26-28-58,143,23.833,3,58,55,5,1,5,1,6,0,0
295,UL58,2025-12-02,21:00,24-40-45-54-56-57,276,46,24,57,33,4,2,1,5,6,1,0
296,UL58,2025-12-05,21:00,13-20-28-36-48-55,200,33.333,13,55,42,4,2,3,3,6,0,0
297,UL58,2025-12-07,21:00,14-33-34-39-49-56,225,37.5,14,56,42,3,3,1,5,6,1,0
298,UL58,2025-12-09,21:00,08-22-26-29-36-47,168,28,8,47,39,4,2,4,2,6,0,0
299,UL58,2025-12-12,21:00,15-27-40-45-48-58,233,38.833,15,58,43,3,3,2,4,6,0,0
300,UL58,2025-12-14,21:00,06-14-18-19-43-49,149,24.833,6,49,43,3,3,4,2,6,1,0
301,UL58,2025-12-16,21:00,01-12-14-35-37-43,142,23.667,1,43,42,2,4,3,3,6,0,2
302,UL58,2025-12-19,21:00,02-07-23-31-35-50,148,24.667,2,50,48,2,4,3,3,6,0,1
303,UL58,2025-12-21,21:00,08-14-17-42-49-51,181,30.167,8,51,43,3,3,3,3,6,0,0
304,UL58,2025-12-23,21:00,06-11-12-13-43-54,139,23.167,6,54,48,3,3,4,2,6,2,0
305,UL58,2025-12-26,21:00,04-17-19-28-46-50,164,27.333,4,50,46,4,2,4,2,6,0,0
306,UL58,2025-12-28,21:00,03-12-23-28-31-44,141,23.5,3,44,41,3,3,4,2,6,0,1
307,UL58,2025-12-30,21:00,13-20-37-49-51-56,226,37.667,13,56,43,2,4,2,4,6,0,0
308,UL58,2026-01-02,21:00,17-24-30-44-53-56,224,37.333,17,56,39,4,2,2,4,6,0,1
309,UL58,2026-01-04,21:00,19-20-37-50-51-52,229,38.167,19,52,33,3,3,2,4,6,3,0
310,UL58,2026-01-06,21:00,03-08-12-30-34-54,141,23.5,3,54,51,5,1,3,3,6,0,0
311,UL58,2026-01-09,21:00,15-23-30-33-53-57,211,35.167,15,57,42,1,5,2,4,6,0,1
312,UL58,2026-01-11,21:00,09-31-32-35-44-51,202,33.667,9,51,42,2,4,1,5,6,1,0
313,UL58,2026-01-13,21:00,11-28-33-43-44-45,204,34,11,45,34,2,4,2,4,6,2,1
314,UL58,2026-01-16,21:00,05-15-17-19-35-37,128,21.333,5,37,32,0,6,4,2,6,0,0
315,UL58,2026-01-18,21:00,02-03-22-38-55-56,176,29.333,2,56,54,4,2,3,3,6,2,0
316,UL58,2026-01-20,21:00,05-20-22-49-52-54,202,33.667,5,54,49,4,2,3,3,6,0,1
317,UL58,2026-01-23,21:00,08-13-19-21-25-33,119,19.833,8,33,25,1,5,5,1,6,0,0
318,UL58,2026-01-25,21:00,02-04-09-11-37-39,102,17,2,39,37,2,4,4,2,6,0,0
319,UL58,2026-01-27,21:00,06-07-25-27-46-50,161,26.833,6,50,44,3,3,4,2,6,1,0
320,UL58,2026-01-30,21:00,02-43-44-45-49-57,240,40,2,57,55,2,4,1,5,6,2,0
321,UL58,2026-02-01,21:00,17-20-23-28-30-55,173,28.833,17,55,38,3,3,4,2,6,0,0
322,UL58,2026-02-03,21:00,12-13-31-35-40-55,186,31,12,55,43,2,4,2,4,6,1,1
323,UL58,2026-02-06,21:00,06-11-28-34-37-50,166,27.667,6,50,44,4,2,3,3,6,0,0
324,UL58,2026-02-08,21:00,13-21-29-30-35-58,186,31,13,58,45,2,4,3,3,6,1,0
325,UL58,2026-02-10,21:00,26-29-31-35-37-54,212,35.333,26,54,28,2,4,2,4,6,0,2
326,UL58,2026-02-13,21:00,18-34-40-41-50-58,241,40.167,18,58,40,5,1,1,5,6,1,0
327,UL58,2026-02-15,21:00,23-26-33-52-56-57,247,41.167,23,57,34,3,3,2,4,6,1,0
328,UL58,2026-02-17,21:00,27-30-32-43-50-56,238,39.667,27,56,29,4,2,1,5,6,0,1
329,UL58,2026-02-20,21:00,28-48-51-53-56-58,294,49,28,58,30,4,2,1,5,6,0,1
330,UL58,2026-02-22,21:00,03-12-13-30-36-43,137,22.833,3,43,40,3,3,3,3,6,1,0
331,UL58,2026-02-24,21:00,26-27-30-41-47-49,220,36.667,26,49,23,2,4,2,4,6,1,1
332,UL58,2026-02-27,21:00,01-12-19-32-41-51,156,26,1,51,50,2,4,3,3,6,0,1
333,UL58,2026-03-01,21:00,07-23-31-33-47-57,198,33,7,57,50,0,6,2,4,6,0,0
334,UL58,2026-03-03,21:00,01-04-21-24-30-40,120,20,1,40,39,4,2,4,2,6,0,0
335,UL58,2026-03-06,21:00,06-13-26-34-37-54,170,28.333,6,54,48,4,2,3,3,6,0,0
336,UL58,2026-03-08,21:00,06-07-09-17-28-44,111,18.5,6,44,38,3,3,5,1,6,1,1
337,UL58,2026-03-10,21:00,02-26-35-42-51-58,214,35.667,2,58,56,4,2,2,4,6,0,0
338,UL58,2026-03-15,21:00,36-37-42-51-54-57,277,46.167,36,57,21,3,3,0,6,6,1,2
339,UL58,2026-03-17,21:00,09-25-29-49-52-55,219,36.5,9,55,46,1,5,3,3,6,0,0
340,UL58,2026-03-20,21:00,19-20-23-34-37-47,180,30,19,47,28,2,4,3,3,6,1,0
341,UL58,2026-03-22,21:00,08-14-19-22-50-58,171,28.5,8,58,50,5,1,4,2,6,0,1
342,UL58,2026-03-24,21:00,12-16-18-20-48-50,164,27.333,12,50,38,6,0,4,2,6,0,1
343,UL58,2026-03-27,21:00,01-12-16-42-51-57,179,29.833,1,57,56,3,3,3,3,6,0,2
344,UL58,2026-03-29,21:00,09-28-34-45-49-52,217,36.167,9,52,43,3,3,2,4,6,0,0
