draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
338,6DL,2026-03-12,21:00,017791,25,4.167,0,9,9,1,5,3,3,4,1,0
339,6DL,2026-03-14,21:00,682627,31,5.167,2,8,6,5,1,2,4,4,0,1
340,6DL,2026-03-17,21:00,183421,19,3.167,1,8,7,3,3,5,1,5,2,2
341,6DL,2026-03-19,21:00,870568,34,5.667,0,8,8,4,2,1,5,5,2,1
342,6DL,2026-03-21,21:00,380046,21,3.5,0,8,8,5,1,4,2,5,0,3
343,6DL,2026-03-24,21:00,874446,33,5.5,4,8,4,5,1,3,3,4,1,3
344,6DL,2026-03-26,21:00,178947,36,6,1,9,8,2,4,2,4,5,2,3
345,6DL,2026-03-28,21:00,558022,22,3.667,0,8,8,4,2,3,3,4,0,1
346,6DL,2026-03-31,21:00,837417,30,5,1,8,7,2,4,3,3,5,0,1
347,6DL,2026-04-07,21:00,240775,25,4.167,0,7,7,3,3,3,3,5,0,2
348,6DL,2026-04-09,21:00,241429,22,3.667,1,9,8,4,2,5,1,4,0,2
349,6DL,2026-04-11,21:00,040614,15,2.5,0,6,6,5,1,5,1,4,0,2
350,6DL,2026-04-14,21:00,380012,14,2.333,0,8,8,4,2,5,1,5,2,2
351,6DL,2026-04-16,21:00,670534,25,4.167,0,7,7,3,3,3,3,6,2,2
352,6DL,2026-04-18,21:00,503242,16,2.667,0,5,5,4,2,5,1,5,1,4
353,6DL,2026-04-21,21:00,159802,25,4.167,0,9,9,3,3,3,3,6,1,3
354,6DL,2026-04-23,21:00,390365,26,4.333,0,9,9,2,4,3,3,5,1,3
355,6DL,2026-04-25,21:00,940857,33,5.5,0,9,9,3,3,2,4,6,0,3
356,6DL,2026-04-28,21:00,815215,22,3.667,1,8,7,2,4,3,3,4,1,2
357,6DL,2026-04-30,21:00,003760,16,2.667,0,7,7,4,2,4,2,4,1,0
358,6DL,2026-05-02,21:00,016949,29,4.833,0,9,9,3,3,3,3,5,1,2
359,6DL,2026-05-05,21:00,620491,22,3.667,0,9,9,4,2,4,2,6,0,5
360,6DL,2026-05-07,21:00,406887,33,5.5,0,8,8,5,1,2,4,5,1,3
361,6DL,2026-05-09,21:00,317328,24,4,1,8,7,2,4,4,2,5,1,2
362,6DL,2026-05-12,21:00,064037,20,3.333,0,7,7,4,2,4,2,5,0,2
363,6DL,2026-05-14,21:00,434720,20,3.333,0,7,7,4,2,5,1,5,2,4
364,6DL,2026-05-16,21:00,848143,28,4.667,1,8,7,4,2,4,2,4,1,2
365,6DL,2026-05-19,21:00,524551,22,3.667,1,5,4,2,4,3,3,4,1,2
366,6DL,2026-05-21,21:00,173587,31,5.167,1,8,7,1,5,2,4,5,1,2
367,6DL,2026-05-23,21:00,193315,22,3.667,1,9,8,0,6,4,2,4,0,3
368,6DL,2026-05-26,21:00,384999,42,7,3,9,6,2,4,2,4,4,0,2
369,6DL,2026-05-28,21:00,902916,27,4.5,0,9,9,3,3,3,3,5,0,1
370,6DL,2026-05-30,21:00,554297,32,5.333,2,9,7,2,4,2,4,5,1,2
371,6DL,2026-06-02,21:00,291007,19,3.167,0,9,9,3,3,4,2,5,1,3
372,6DL,2026-06-04,21:00,342685,28,4.667,2,8,6,4,2,3,3,6,1,1
373,6DL,2026-06-06,21:00,981392,32,5.333,1,9,8,2,4,3,3,5,1,3
374,6DL,2026-06-09,21:00,637541,26,4.333,1,7,6,2,4,3,3,6,1,2
375,6DL,2026-06-11,21:00,288784,37,6.167,2,8,6,5,1,2,4,4,2,2
376,6DL,2026-06-13,21:00,972481,31,5.167,1,9,8,3,3,3,3,6,0,4
377,6DL,2026-06-16,21:00,747089,35,5.833,0,9,9,3,3,2,4,5,1,4
378,6DL,2026-06-18,21:00,192707,26,4.333,0,9,9,2,4,3,3,5,0,3
379,6DL,2026-06-20,21:00,398359,37,6.167,3,9,6,1,5,2,4,4,1,1
380,6DL,2026-06-23,21:00,998186,41,6.833,1,9,8,3,3,1,5,4,1,2
381,6DL,2026-06-25,21:00,318072,21,3.5,0,8,8,3,3,4,2,6,0,2
382,6DL,2026-06-27,21:00,804721,22,3.667,0,8,8,4,2,4,2,6,1,5
383,6DL,2026-06-30,21:00,582816,30,5,1,8,7,4,2,2,4,5,0,3
384,6DL,2026-07-02,21:00,706895,35,5.833,0,9,9,3,3,1,5,6,1,3
385,6DL,2026-07-04,21:00,763911,27,4.5,1,9,8,1,5,3,3,5,1,3
386,6DL,2026-07-07,21:00,700382,20,3.333,0,8,8,4,2,4,2,5,0,2
387,6DL,2026-07-09,21:00,186494,32,5.333,1,9,8,4,2,3,3,5,0,1
388,6DL,2026-07-11,21:00,664671,30,5,1,7,6,4,2,2,4,4,1,3
389,6DL,2026-07-14,21:00,993254,32,5.333,2,9,7,2,4,3,3,5,2,1
390,6DL,2026-07-16,21:00,358765,34,5.667,3,8,5,2,4,1,5,5,3,2
391,6DL,2026-07-18,21:00,324536,23,3.833,2,6,4,3,3,4,2,5,2,3
392,6DL,2026-07-21,21:00,468170,26,4.333,0,8,8,4,2,3,3,6,0,2
393,6DL,2026-07-23,21:00,032642,17,2.833,0,6,6,5,1,5,1,5,1,3
394,6DL,2026-07-25,21:00,626183,26,4.333,1,8,7,4,2,3,3,5,0,3
395,6DL,2026-07-28,21:00,258794,35,5.833,2,9,7,3,3,2,4,6,1,2
396,6DL,2026-07-30,21:00,095761,28,4.667,0,9,9,2,4,2,4,6,1,3
397,6DL,2026-08-01,21:00,906359,32,5.333,0,9,9,2,4,2,4,5,0,4
398,6DL,2026-08-04,21:00,050497,25,4.167,0,9,9,3,3,3,3,5,0,3
